PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=4.59 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=97.5 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=241 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=246 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=187 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=71.0 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=67.0 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=70.5 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=74.5 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=69.3 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=72.5 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=70.8 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=74.5 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=70.9 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=73.9 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=72.2 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=74.6 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=79.7 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=85.8 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=80.5 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=76.4 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=80.8 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=84.4 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=78.3 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=83.1 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=83.9 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=80.2 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=84.9 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=83.4 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=88.2 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=83.0 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=91.7 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=86.2 ms
